,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
0,4185.128418,4185.128418,4182.05127,4185.128418,4198.461426,4201.025879,4198.974121,4200.512695,4206.666504,4184.615234,4198.974121,4184.102539,4185.641113,4172.820313
1,4183.589844,4184.102539,4183.077148,4186.153809,4197.436035,4200.0,4197.94873,4200.0,4203.077148,4187.179688,4194.358887,4190.769043,4180.512695,4168.717773
2,4189.743652,4178.974121,4183.077148,4183.589844,4193.846191,4198.461426,4195.384766,4198.974121,4201.538574,4184.102539,4183.589844,4200.0,4176.410156,4169.743652
3,4198.974121,4182.05127,4188.205078,4183.077148,4194.871582,4198.461426,4196.410156,4198.461426,4194.871582,4187.692383,4188.717773,4205.128418,4180.0,4175.384766
4,4203.589844,4194.358887,4195.897461,4191.282227,4198.974121,4198.974121,4200.512695,4200.0,4190.769043,4189.743652,4200.0,4212.820313,4188.717773,4184.102539
5,4211.794922,4204.102539,4204.102539,4201.538574,4198.461426,4203.077148,4206.666504,4203.589844,4197.436035,4183.589844,4205.128418,4223.077148,4196.922852,4195.384766
6,4220.0,4205.641113,4211.794922,4199.487305,4199.487305,4204.615234,4213.333496,4203.077148,4203.077148,4190.256348,4207.179688,4227.179688,4203.077148,4205.128418
7,4220.0,4197.94873,4210.256348,4191.282227,4197.94873,4201.538574,4215.897461,4202.05127,4200.512695,4203.077148,4203.077148,4226.153809,4202.563965,4202.563965
8,4214.871582,4190.256348,4201.025879,4189.230957,4191.282227,4206.153809,4214.871582,4210.256348,4203.077148,4202.05127,4198.461426,4222.563965,4198.461426,4189.743652
9,4207.179688,4187.692383,4198.461426,4189.230957,4194.871582,4218.461426,4214.871582,4216.410156,4215.384766,4198.974121,4202.05127,4216.410156,4199.487305,4184.615234
10,4197.94873,4187.692383,4197.94873,4186.153809,4202.05127,4217.436035,4212.820313,4215.897461,4221.025879,4203.589844,4206.666504,4214.871582,4204.102539,4186.666504
11,4197.436035,4182.05127,4190.256348,4183.589844,4200.0,4205.128418,4207.692383,4215.384766,4218.974121,4203.077148,4205.128418,4214.358887,4204.615234,4185.128418
12,4200.0,4182.05127,4188.205078,4184.102539,4198.974121,4200.0,4202.563965,4210.769043,4217.436035,4196.922852,4205.641113,4209.230957,4203.077148,4183.589844
13,4200.512695,4193.846191,4195.897461,4191.282227,4204.102539,4202.05127,4200.0,4202.05127,4217.436035,4201.025879,4208.717773,4208.717773,4207.692383,4185.641113
14,4207.692383,4200.0,4199.487305,4198.974121,4203.589844,4201.538574,4201.538574,4202.05127,4216.410156,4213.846191,4207.692383,4215.897461,4215.384766,4189.230957
15,4213.846191,4203.077148,4201.025879,4200.512695,4199.487305,4199.487305,4202.05127,4205.641113,4214.358887,4216.410156,4205.128418,4217.436035,4217.436035,4193.846191
16,4216.410156,4215.897461,4206.666504,4205.641113,4205.128418,4200.0,4201.538574,4204.615234,4211.282227,4207.179688,4205.128418,4216.410156,4209.743652,4196.922852
17,4220.512695,4223.589844,4213.846191,4210.769043,4213.333496,4202.563965,4202.05127,4203.589844,4206.153809,4201.025879,4204.615234,4219.487305,4203.077148,4203.589844
18,4220.512695,4218.461426,4215.897461,4206.153809,4209.230957,4201.538574,4207.692383,4202.563965,4198.461426,4190.256348,4200.512695,4219.487305,4201.025879,4204.102539
19,4217.436035,4216.410156,4214.871582,4201.538574,4201.538574,4200.512695,4213.846191,4207.179688,4197.94873,4181.538574,4197.94873,4215.384766,4198.974121,4191.794922
20,4218.461426,4218.974121,4215.384766,4204.615234,4203.077148,4208.205078,4218.974121,4215.384766,4207.692383,4191.282227,4200.512695,4215.897461,4198.461426,4188.205078
21,4218.461426,4211.794922,4212.820313,4204.615234,4203.589844,4216.410156,4224.102539,4216.922852,4212.820313,4202.05127,4201.025879,4218.461426,4204.615234,4192.307617
22,4213.333496,4204.615234,4205.128418,4201.025879,4201.025879,4215.897461,4223.077148,4213.846191,4215.384766,4204.615234,4202.05127,4217.436035,4211.282227,4184.102539
23,4212.820313,4207.179688,4201.025879,4200.0,4202.563965,4214.358887,4220.512695,4215.897461,4227.692383,4215.384766,4206.666504,4217.436035,4212.307617,4182.05127
24,4215.384766,4211.282227,4203.589844,4199.487305,4203.077148,4212.307617,4220.0,4217.436035,4230.769043,4221.538574,4213.846191,4221.025879,4214.358887,4196.410156
25,4212.820313,4212.820313,4205.128418,4198.974121,4201.538574,4205.128418,4216.922852,4210.256348,4221.025879,4207.179688,4216.922852,4221.025879,4216.922852,4195.897461
